"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"08.04.2026","102,450","102,440","102,460","102,240","0,07%"
"07.04.2026","102,380","102,220","102,440","101,780","-0,06%"
"02.04.2026","102,440","102,110","102,440","102,110","0,17%"
"01.04.2026","102,270","102,670","102,820","102,190","-0,05%"
"31.03.2026","102,320","102,230","102,410","102,050","0,05%"
"30.03.2026","102,270","101,630","102,270","101,590","0,56%"
"27.03.2026","101,700","101,570","101,700","101,360","0,07%"
"26.03.2026","101,630","101,470","101,640","101,210","-0,02%"
"25.03.2026","101,650","101,750","101,900","101,600","0,00%"
"24.03.2026","101,650","102,170","102,180","101,600","-0,45%"
"23.03.2026","102,110","101,830","102,190","100,960","0,05%"
"20.03.2026","102,060","102,500","102,500","101,830","-0,36%"
"19.03.2026","102,430","102,500","102,790","102,260","0,13%"
"18.03.2026","102,300","102,530","102,530","102,250","-0,15%"
"17.03.2026","102,450","102,490","102,530","102,400","0,07%"
"16.03.2026","102,380","102,330","102,470","102,250","0,14%"
"13.03.2026","102,240","102,220","102,500","102,210","-0,05%"
"12.03.2026","102,290","101,930","102,320","101,870","0,48%"
"11.03.2026","101,800","101,860","102,060","101,800","-0,34%"
"10.03.2026","102,150","102,140","102,280","101,800","0,28%"
"09.03.2026","101,860","101,340","102,180","101,180","0,01%"